id;name;team;position;dorsal;valoration
101;Dibu;1;Gk;1;80
102;;1;;2;
103;;1;;3;
104;;1;;4;
105;;1;;5;
106;;1;;6;
107;;1;;7;
108;;1;;8;
109;;1;;9;
110;Messi;1;Fwd;10;99
111;;1;;11;
112;;1;;12;
113;;1;;13;
114;;1;;14;
115;;1;;15;
116;;1;;16;
117;;1;;17;
118;;1;;18;
119;;1;;19;
120;;1;;20;
121;;1;;21;
122;;1;;22;
123;;1;;23;
201;;2;;1;
202;;2;;2;
203;;2;;3;
204;;2;;4;
205;;2;;5;
206;;2;;6;
207;;2;;7;
208;;2;;8;
209;;2;;9;
210;;2;;10;
211;;2;;11;
212;;2;;12;
213;;2;;13;
214;;2;;14;
215;;2;;15;
216;;2;;16;
217;;2;;17;
218;;2;;18;
219;;2;;19;
220;;2;;20;
221;;2;;21;
222;;2;;22;
223;;2;;23;
301;;3;;1;
302;;3;;2;
303;;3;;3;
304;;3;;4;
305;;3;;5;
306;;3;;6;
307;;3;;7;
308;;3;;8;
309;;3;;9;
310;;3;;10;
311;;3;;11;
312;;3;;12;
313;;3;;13;
314;;3;;14;
315;;3;;15;
316;;3;;16;
317;;3;;17;
318;;3;;18;
319;;3;;19;
320;;3;;20;
321;;3;;21;
322;;3;;22;
323;;3;;23;
401;;4;;1;
402;;4;;2;
403;;4;;3;
404;;4;;4;
405;;4;;5;
406;;4;;6;
407;;4;;7;
408;;4;;8;
409;;4;;9;
410;;4;;10;
411;;4;;11;
412;;4;;12;
413;;4;;13;
414;;4;;14;
415;;4;;15;
416;;4;;16;
417;;4;;17;
418;;4;;18;
419;;4;;19;
420;;4;;20;
421;;4;;21;
422;;4;;22;
423;;4;;23;
501;;5;;1;
502;;5;;2;
503;;5;;3;
504;;5;;4;
505;;5;;5;
506;;5;;6;
507;;5;;7;
508;;5;;8;
509;;5;;9;
510;;5;;10;
511;;5;;11;
512;;5;;12;
513;;5;;13;
514;;5;;14;
515;;5;;15;
516;;5;;16;
517;;5;;17;
518;;5;;18;
519;;5;;19;
520;;5;;20;
521;;5;;21;
522;;5;;22;
523;;5;;23;
601;;6;;1;
602;;6;;2;
603;;6;;3;
604;;6;;4;
605;;6;;5;
606;;6;;6;
607;;6;;7;
608;;6;;8;
609;;6;;9;
610;;6;;10;
611;;6;;11;
612;;6;;12;
613;;6;;13;
